Name;Set;Imagefile;Side;Culture;Type;Twilight;Strength;Vitality;Resistance;Signet/Site#;Unique;Set#;Rarity;Card#;Notes;Lore;Text
Osgiliath Fallen;ReturnOfTheKing;LOTR07342;Site;Site;Site;02;;;;4K;;07;U;342;;;Skirmish: Spot your minion and remove 2 burdens to make that minion damage +1.
Pelennor Plain;ReturnOfTheKing;LOTR07343;Site;Site;Site;04;;;;4K;;07;U;343;;;Plains. Archery: Spot your minion and remove 3 burdens to make the minion archery total +3.
City Gates;ReturnOfTheKing;LOTR07344;Site;Site;Site;06;;;;5K;;07;U;344;Version: *. ;;When the fellowship moves to this site, add 3 threats. When the fellowship moves from this site, remove 3 threats.
Pelennor Flat;ReturnOfTheKing;LOTR07345;Site;Site;Site;06;;;;5K;;07;U;345;Version: *. ;;Plains. At the start of the maneuver phase, the Free Peoples player must discard his or her hand or add 2 burdens.
Minas Tirith Fifth Circle;ReturnOfTheKing;LOTR07346;Site;Site;Site;03;;;;6K;;07;U;346;;;Sanctuary. If the fellowship moves from this site during the regroup phase, heal Gandalf three times.
Minas Tirith First Circle;ReturnOfTheKing;LOTR07347;Site;Site;Site;03;;;;6K;;07;U;347;;;Sanctuary. If the fellowship moves from this site during the regroup phase, wound each companion.
Minas Tirith Fourth Circle;ReturnOfTheKing;LOTR07348;Site;Site;Site;03;;;;6K;;07;U;348;;;Sanctuary. If the fellowship moves from this site during the regroup phase, heal each [ROHAN] companion.
Minas Tirith Second Circle;ReturnOfTheKing;LOTR07349;Site;Site;Site;03;;;;6K;;07;U;349;;;Sanctuary. If the fellowship moves from this site during the regroup phase, heal each [DWARVEN] companion.
Minas Tirith Seventh Circle;ReturnOfTheKing;LOTR07350;Site;Site;Site;03;;;;6K;;07;U;350;;;Sanctuary. If the fellowship moves from this site during the regroup phase, heal each [ELVEN] companion.
Minas Tirith Sixth Circle;ReturnOfTheKing;LOTR07351;Site;Site;Site;03;;;;6K;;07;U;351;;;Sanctuary. If the fellowship moves from this site during the regroup phase, heal each [GONDOR] companion.
Minas Tirith Third Circle;ReturnOfTheKing;LOTR07352;Site;Site;Site;03;;;;6K;;07;U;352;;;Sanctuary. If the fellowship moves from this site during the regroup phase, heal each Hobbit companion.
Osgiliath Crossing;ReturnOfTheKing;LOTR07353;Site;Site;Site;06;;;;7K;;07;U;353;;;River. Shadow: Exert 2 minions and spot 6 companions to draw 2 cards.
Pelennor Grassland;ReturnOfTheKing;LOTR07354;Site;Site;Site;06;;;;7K;;07;U;354;;;Plains. Shadow: Exert a minion and spot 6 companions to add [1].
Ruined Capitol;ReturnOfTheKing;LOTR07355;Site;Site;Site;06;;;;7K;;07;U;355;;;River. Shadow: Spot your minion and 6 companions to make the move limit for this turn -1.
Cross Roads;ReturnOfTheKing;LOTR07356;Site;Site;Site;08;;;;8K;;07;U;356;;;Shadow: Spot 2 [RAIDER] Men and remove a threat to add [2].
Morgul Vale;ReturnOfTheKing;LOTR07357;Site;Site;Site;08;;;;8K;;07;U;357;Game text is a clarification. ;;Skirmish: Spot your [SAURON] minion and remove 2 threats to make your [SAURON] minion strength +3.
Morgulduin;ReturnOfTheKing;LOTR07358;Site;Site;Site;08;;;;8K;;07;U;358;;;Shadow: Remove 2 threats to play a Nazgul from your discard pile. His twilight cost is -2.
Northern Ithilien;ReturnOfTheKing;LOTR07359;Site;Site;Site;08;;;;8K;;07;U;359;;;Shadow: Remove 2 threats and play Gollum from your discard pile to add 2 burdens.
Dagorlad;ReturnOfTheKing;LOTR07360;Site;Site;Site;09;;;;9K;;07;U;360;;;Plains. When the fellowship moves to this site, add 3 threats.
Haunted Pass;ReturnOfTheKing;LOTR07361;Site;Site;Site;09;;;;9K;;07;U;361;;;Shadow: Remove a threat and spot your minion to draw a card.
Narchost;ReturnOfTheKing;LOTR07362;Site;Site;Site;09;;;;9K;;07;U;362;;;Shadow: Spot 8 burdens to make the Ring-bearer wear The One Ring until the regroup phase.
Slag Mounds;ReturnOfTheKing;LOTR07363;Site;Site;Site;09;;;;9K;;07;U;363;Version: *. ;;Each time a companion is killed, add a burden.
Aragorn, Driven by Need;ReturnOfTheKing;LOTR07364;Free;Gondor;Companion - Man;04;07;4;06;Gandalf;U;07;P;364;;;While you cannot spot 4 threats, Aragorn is strength +1 for each threat. Regroup: Exert Aragorn twice to remove 3 threats.
Eomer, Valiant Warchief;ReturnOfTheKing;LOTR07365;Free;Rohan;Companion - Man;03;07;3;06;Theoden;U;07;P;365;;;Valiant. While you can spot a [ROHAN] Man, Eomer's twilight cost is -1. Skirmish:If you have initiative, discard 3 cards from hand to make Eomer strength +1 for each valiant companion you spot.
Aggression;SiegeOfGondor;LOTR08001;Free;Dwarven;Condition - Support Area;01;;;;;;08;C;001;Lists: SXL, EXL, MXL;;While you have initiative, each Dwarf is damage +1. Fellowship: Spot a Dwarf who is damage +X to draw X cards. Discard this condition.
Battle in Earnest;SiegeOfGondor;LOTR08002;Free;Dwarven;Event - Regroup;01;;;;;;08;R;002;;;Spot a Dwarf who is damage +X to place X wounds on minions.
Blood Runs Chill;SiegeOfGondor;LOTR08003;Free;Dwarven;Event - Regroup;02;;;;;;08;R;003;;;Spot a Dwarf who is damage +X and exert that Dwarf twice to make an opponent discard X Shadow cards.
Counts But One;SiegeOfGondor;LOTR08004;Free;Dwarven;Event - Skirmish;02;;;;;;08;U;004;;;If Gimli is not assigned to a skirmish, add a threat to have him replace an unbound companion in a skirmish.
Gimli, Counter of Foes;SiegeOfGondor;LOTR08005;Free;Dwarven;Companion - Dwarf;02;06;3;06;Gandalf;U;08;C;005;;;Damage +1. For each wound on Gimli, he is strength +1 and damage +1.
Honed;SiegeOfGondor;LOTR08006;Free;Dwarven;Event - Skirmish;00;;;;;;08;C;006;;;Spot a Dwarf who is damage +X to make him strength +X.
Unheard of;SiegeOfGondor;LOTR08007;Free;Dwarven;Event - Response;01;;;;;;08;R;007;;;If a Dwarf who is damage +X wins a skirmish, wound a minion not assigned to a skirmish X times.
Wish For Our Kinfolk;SiegeOfGondor;LOTR08008;Free;Dwarven;Condition - Support Area;01;;;;;;08;U;008;;;Fellowship: Exert a Dwarf companion and either an [ELVEN] companion or a [GONDOR] Man to add a [DWARVEN] token here. Skirmish: Remove a [DWARVEN] token here to make a companion damage +1.
A Grey Ship;SiegeOfGondor;LOTR08009;Free;Elven;Event - Archery;02;;;;;;08;U;009;;;Spot an Elf companion and make the fellowship archery total -X (to a minimum of 0) to heal X unbound companions. You cannot use archery special abilities.
Legolas, Elven Stalwart;SiegeOfGondor;LOTR08010;Free;Elven;Companion - Elf;02;06;3;06;Aragorn;U;08;C;010;;;Archer. While you can spot 3 wounded minions, each minion skirmishing Legolas is strength -3.
Life of the Eldar;SiegeOfGondor;LOTR08011;Free;Elven;Event - Regroup;00;;;;;;08;R;011;;;To play, spot 2 Elves. Discard an Elf to draw 3 cards.
Reckless We Rode;SiegeOfGondor;LOTR08012;Free;Elven;Event - Archery;02;;;;;;08;R;012;;;Exert an Elf companion and make the fellowship archery total -X (to a minimum of 0) to wound a minion X times. You cannot use archery special abilities.
Shake Off the Shadow;SiegeOfGondor;LOTR08013;Free;Elven;Condition - Support Area;01;;;;;;08;U;013;;;Fellowship: Exert an Elf companion and either a [GANDALF] companion or a [DWARVEN] companion to add an [ELVEN] token here. Archery: Remove an [ELVEN] token here to make the fellowship archery total +1 (limit +2).
A Fool;SiegeOfGondor;LOTR08014;Free;Gandalf;Event - Skirmish;03;;;;;;08;C;014;;;At sites 1[KING] to 5[KING], heal Gandalf. At any other site, prevent a Hobbit from being overwhelmed unless his or her strength is tripled.
Gandalf, Leader of Men;SiegeOfGondor;LOTR08015;Free;Gandalf;Companion - Wizard;04;07;4;06;Aragorn;U;08;R;015;;;When Gandalf is in your starting fellowship, his twilight cost is -2.
Gandalf, Leader of Men (T);SiegeOfGondor;LOTR08015T;Free;Gandalf;Companion - Wizard;04;07;4;06;Aragorn;U;08;R;015T;Tengwar;;When Gandalf is in your starting fellowship, his twilight cost is -2.
Let Us Not Tarry;SiegeOfGondor;LOTR08016;Free;Gandalf;Event - Skirmish;02;;;;;;08;U;016;;;Exert Gandalf to make a minion skirmishing an unbound companion strength -1 for each Gandalf signet you spot.
Mighty Steed;SiegeOfGondor;LOTR08017;Free;Gandalf;Event - Skirmish;03;;;;;;08;U;017;;;If Gandalf is not assigned to a skirmish, spot Shadowfax or exert Gandalf to have Gandalf replace an unbound companion in a skirmish.
Not the First Halfling;SiegeOfGondor;LOTR08018;Free;Gandalf;Condition - Support Area;01;;;;;;08;U;018;;;Fellowship: Exert Gandalf and either an [ELVEN] companion or a [SHIRE] companion to add a [GANDALF] token here. Skirmish: Remove a [GANDALF] token here to make a minion skirmishing an unbound companion strength -2.
On Your Doorstep;SiegeOfGondor;LOTR08019;Free;Gandalf;Event - Fellowship;01;;;;;;08;U;019;;;Spot Gandalf and exert a companion to place a card of that companion's culture from your discard pile on top of your draw deck.
Saved From the Fire;SiegeOfGondor;LOTR08020;Free;Gandalf;Event - Fellowship;03;;;;;;08;R;020;Game text is a clarification. ;;Spot Gandalf and place a companion (except the Ring-bearer) in the dead pile to take 3 cards from that companion's culture into hand from your draw deck. Shuffle your draw deck.
Shadowfax, Greatheart;SiegeOfGondor;LOTR08021;Free;Gandalf;Possession - Mount;02;;;;;U;08;R;021;;;Bearer must be Gandalf. At the start of each skirmish involving Gandalf, each minion skirmishing Gandalf must exert. Skirmish: Add a threat to make Gandalf strength +1.
Hidden Even From Her;SiegeOfGondor;LOTR08022;Shadow;Gollum;Condition - Support Area;01;;;;;;08;C;022;;;Gollum is fierce. Shadow: Spot 6 companions to play Gollum from your discard pile and exert a companion. Place this condition on top of your draw deck.
Larder;SiegeOfGondor;LOTR08023;Shadow;Gollum;Possession - Support Area;01;;;;;;08;U;023;;;To play, spot a [GOLLUM] minion. Regroup: Discard an Orc from hand to add a [GOLLUM] token here. Skirmish: Remove a [GOLLUM] token here to make Shelob strength +3 (limit +6).
Promise Keeping;SiegeOfGondor;LOTR08024;Shadow;Gollum;Condition - Support Area;04;;;;;U;08;R;024;;;Each time a companion takes a wound during a skirmish that involves a [GOLLUM] minion, exert a companion.
Shelob, Eater of Light;SiegeOfGondor;LOTR08025;Shadow;Gollum;Minion - Spider;06;08;8;;8;U;08;R;025;;;Fierce. When you play Shelob, you may play a [GOLLUM] possession from your draw deck. Shelob is strength +3 for each minion stacked on a [GOLLUM] possession.
Shelob, Eater of Light (T);SiegeOfGondor;LOTR08025T;Shadow;Gollum;Minion - Spider;06;08;8;;8;U;08;R;025T;Tengwar;;Fierce. When you play Shelob, you may play a [GOLLUM] possession from your draw deck. Shelob is strength +3 for each minion stacked on a [GOLLUM] possession.
Shelob, Last Child of Ungoliant;SiegeOfGondor;LOTR08026;Shadow;Gollum;Minion - Spider;06;08;8;;8;U;08;C;026;;;Enduring. Fierce. While in a fierce skirmish, Shelob is damage +1.
Smeagol, Slippery Sneak;SiegeOfGondor;LOTR08027;Free;Gollum;Companion;00;03;4;06;Frodo;U;08;R;027;;;Ring-bound. To play, add a burden. Skirmish: Add threats equal to the total vitality of the minions Smeagol is skirmishing to discard Smeagol. Regroup: Discard Smeagol to take a [GOLLUM] minion from your discard pile into hand.
Spider Poison;SiegeOfGondor;LOTR08028;Shadow;Gollum;Possession - Support Area;01;;;;;;08;C;028;;;Skirmish: Remove a threat or a burden to transfer this possession to a companion skirmishing Shelob. Each time bearer is assigned to a skirmish, bearer must exert.
Still Far Ahead;SiegeOfGondor;LOTR08029;Free;Gollum;Event - Fellowship or Regroup;00;;;;;;08;U;029;;;Spot Smeagol to play the fellowship's next site (replacing opponent's site if necessary). The Shadow number of the fellowship's next site is -1 until the end of the turn.
Web;SiegeOfGondor;LOTR08030;Shadow;Gollum;Possession - Support Area;01;;;;;;08;C;030;;;Regroup: If there are fewer than 3 cards stacked here, spot your Orc or [GOLLUM] minion to stack that minion here. Shadow: Play a [GOLLUM] minion stacked here as if played from hand.
At His Command;SiegeOfGondor;LOTR08031;Free;Gondor;Event - Skirmish;01;;;;;;08;C;031;;;Exert Aragorn to make an unbound companion with the Aragorn signet strength +1 for each threat you spot.
Catapult;SiegeOfGondor;LOTR08032;Free;Gondor;Possession - Support Area;01;;;;;;08;R;032;;;To play, spot 2 [GONDOR] knights. Maneuver: Discard 2 cards from hand to reveal the top card of an opponent's draw deck. Choose an opponent who must discard a Shadow card that has a twilight cost that is the same as the twilight cost of the revealed card.
Elessar's Edict;SiegeOfGondor;LOTR08033;Free;Gondor;Event - Response;01;;;;;;08;R;033;Game text is a clarification. ;;If a [GONDOR] Wraith is about to be killed, discard him and either exhaust another [GONDOR] Wraith or spot another exhausted [GONDOR] Wraith to prevent that.
Faramir, Defender of Osgiliath;SiegeOfGondor;LOTR08034;Free;Gondor;Companion - Man;03;07;3;06;Gandalf;U;08;C;034;;;Knight. When you play Faramir (except in your starting fellowship), you may reveal the top 10 cards of your draw deck. You may play a knight revealed. Shuffle your draw deck.
Fourth Level;SiegeOfGondor;LOTR08035;Free;Gondor;Condition - Support Area;02;-1;;;;;08;C;035;;;Fortification. Skirmish: Exert 2 [GONDOR] Men or spot 3 knights to transfer this condition from your support area to a minion skirmishing a [GONDOR] Man. Exhaust that minion.
Garrison of Gondor;SiegeOfGondor;LOTR08036;Free;Gondor;Companion - Man;03;08;3;06;;U;08;R;036;;;Archer. Knight. To play, spot 3 [GONDOR] companions. While you can spot a fortification, Garrison of Gondor is defender +1.
Imrahil, Prince of Dol Amroth;SiegeOfGondor;LOTR08037;Free;Gondor;Companion - Man;03;07;3;06;;U;08;R;037;;;Knight. To play, spot a knight. Each time Imrahil wins a skirmish, you may exert 2 minions.
King of the Dead, Oathbreaker;SiegeOfGondor;LOTR08038;Free;Gondor;Companion - Wraith;04;07;4;06;Aragorn;U;08;R;038;;;Enduring. To play, spot a [GONDOR] Wraith and add 2 threats. Response: If Aragorn is about to take a wound in a skirmish, exert King of the Dead to prevent that wound.
King of the Dead, Oathbreaker (T);SiegeOfGondor;LOTR08038T;Free;Gondor;Companion - Wraith;04;07;4;06;Aragorn;U;08;R;038T;Tengwar;;Enduring. To play, spot a [GONDOR] Wraith and add 2 threats. Response: If Aragorn is about to take a wound in a skirmish, exert King of the Dead to prevent that wound.
Knight of Dol Amroth;SiegeOfGondor;LOTR08039;Free;Gondor;Companion - Man;02;06;3;06;;;08;C;039;;;Knight. Each time this companion wins a skirmish, you may wound a minion he is skirmishing.
Knight's Mount;SiegeOfGondor;LOTR08040;Free;Gondor;Possession - Mount;01;+1;;;;;08;C;040;;;Bearer must be a knight. Each time bearer wins a skirmish, you may wound a minion who is not assigned to a skirmish.
Oathbreaker;SiegeOfGondor;LOTR08041;Free;Gondor;Companion - Wraith;02;06;3;06;Aragorn;;08;C;041;;;Enduring. To play, add a threat. Skirmish: Discard 3 cards from hand to discard a possession borne by a minion skirmishing this companion.
A Path Appointed;SiegeOfGondor;LOTR08042;Free;Gondor;Condition - Support Area;01;;;;;;08;U;042;;;Fellowship: Exert a [GONDOR] Man and either a [DWARVEN] companion or a [ROHAN] companion to add a [GONDOR] token here. Regroup: Remove a [GONDOR] token here to discard a minion.
Shadow Host;SiegeOfGondor;LOTR08043;Free;Gondor;Companion - Wraith;05;09;3;06;Aragorn;U;08;R;043;;;Enduring. To play, spot 2 exhausted [GONDOR] Wraiths and add 2 threats. While Shadow Host is exhausted, it is defender +1.
Sixth Level;SiegeOfGondor;LOTR08044;Free;Gondor;Condition - Support Area;02;;;;;;08;U;044;;;Fortification. Regroup: Exert a [GONDOR] Man to play a [GONDOR] fortification from your discard pile (limit 1).
Sleepless Dead;SiegeOfGondor;LOTR08045;Free;Gondor;Companion - Wraith;03;07;3;06;Aragorn;;08;U;045;;;Enduring. To play, add a threat. Each time this companion wins a skirmish, you may exert him to discard a minion he is skirmishing.
Spectral Sword;SiegeOfGondor;LOTR08046;Free;Gondor;Possession - Hand Weapon;00;+1;;;;;08;U;046;;;Bearer must be a [GONDOR] Wraith. Skirmish: Discard 3 cards from hand to heal bearer.
Stronger and More Terrible;SiegeOfGondor;LOTR08047;Free;Gondor;Condition - Support Area;01;;;;;;08;C;047;;;To play, add a threat. Each time your [GONDOR] Wraith wins a skirmish, you may remove a threat.
Swept Away;SiegeOfGondor;LOTR08048;Free;Gondor;Condition - Support Area;00;;;;;;08;C;048;;;Each time the fellowship moves, add a threat or discard this condition. While you have initiative, exhausted [GONDOR] Wraiths cannot take wounds.
Black Numenorean;SiegeOfGondor;LOTR08049;Shadow;Raider;Minion - Man;06;12;3;;4;;08;R;049;;;Corsair. Fierce. Skirmish: If you have initiative, remove a [RAIDER] token to discard a possession borne by a character skirmishing this minion.
Black Sails of Umbar;SiegeOfGondor;LOTR08050;Shadow;Raider;Possession - Support Area;02;;;;;;08;C;050;;;When you play this possession, you may add a [RAIDER] token here. Shadow: Remove X [RAIDER] tokens here to play a corsair from your discard pile; its twilight cost is -X. Discard this possession.
Castamir of Umbar;SiegeOfGondor;LOTR08051;Shadow;Raider;Minion - Man;07;14;4;;4;U;08;R;051;;;Corsair. Enduring. Fierce. Shadow: Exert Castamir of Umbar and play a corsair to add 2 [RAIDER] tokens to a card that already has a [RAIDER] token on it.
Castamir of Umbar (T);SiegeOfGondor;LOTR08051T;Shadow;Raider;Minion - Man;07;14;4;;4;U;08;R;051T;Tengwar;;Corsair. Enduring. Fierce. Shadow: Exert Castamir of Umbar and play a corsair to add 2 [Raider] tokens to a card that already has a [Raider] token on it.
Corsair Ballista;SiegeOfGondor;LOTR08052;Shadow;Raider;Possession - Ranged Weapon;00;+2;;;;;08;C;052;;;Bearer must be a corsair. While you have initiative, bearer is an archer and fierce.
Corsair Buccaneer;SiegeOfGondor;LOTR08053;Shadow;Raider;Minion - Man;03;08;2;;4;;08;C;053;;;Corsair. When you play this minion, you may remove a threat to add 2 [RAIDER] tokens to a card that already has a [RAIDER] token on it.
Corsair Freebooter;SiegeOfGondor;LOTR08054;Shadow;Raider;Minion - Man;03;08;2;;4;;08;C;054;;;Corsair. When you play this minion, you may remove 2 culture tokens to add 2 [RAIDER] tokens to a card that already has a [RAIDER] token on it.
Corsair Gunners;SiegeOfGondor;LOTR08055;Shadow;Raider;Minion - Man;05;10;3;;4;;08;C;055;;;Corsair. Skirmish: If you have initiative, remove a [RAIDER] token to make a corsair fierce until the regroup phase.
Corsair Lookout;SiegeOfGondor;LOTR08056;Shadow;Raider;Minion - Man;01;05;1;;4;;08;U;056;;;Corsair. When you play this minion, if you have initiative, you may discard an ally to add 2 [RAIDER] tokens to a card that already has a [RAIDER] token on it.
Corsair Marauder;SiegeOfGondor;LOTR08057;Shadow;Raider;Minion - Man;04;09;2;;4;;08;R;057;;;Corsair. When you play this minion, if you can spot another corsair, you may discard a possession to add 2 [RAIDER] tokens to a card that already has a [RAIDER] token on it.
Corsair Marauder (T);SiegeOfGondor;LOTR08057T;Shadow;Raider;Minion - Man;04;09;2;;4;;08;R;057T;Tengwar;;Corsair. When you play this minion, if you can spot another corsair, you may discard a possession to add 2 [Raider] tokens to a card that already has a [Raider] token on it.
Corsair Plunderer;SiegeOfGondor;LOTR08058;Shadow;Raider;Minion - Man;02;06;2;;4;;08;C;058;;;Corsair. When you play this minion, you may discard 2 cards from hand to add 2 [RAIDER] tokens to a card that already has a [RAIDER] token on it.
Corsair War Galley;SiegeOfGondor;LOTR08059;Shadow;Raider;Possession - Support Area;01;;;;;;08;U;059;;;When you play this possession, you may add a [RAIDER] token here. While you can spot 6 [RAIDER] tokens and a [RAIDER] Man, the Shadow has initiative, regardless of the Free Peoples player's hand. Regroup: Add [1] for each [RAIDER] token you can spot. Discard this possession.
Haradrim Marksman;SiegeOfGondor;LOTR08060;Shadow;Raider;Minion - Man;05;11;3;;4;U;08;U;060;;;Southron. Archer. While you can spot another [RAIDER] Man, Ring-bound companions cannot take archery wounds.
Haradwaith;SiegeOfGondor;LOTR08061;Shadow;Raider;Condition - Support Area;01;;;;;U;08;C;061;;;While you can spot a [RAIDER] minion at site 4[KING], the Shadow has initiative, regardless of the Free Peoples player's hand. Response: If a companion is played, discard a [RAIDER] card from hand to add [5]. Discard this condition.
Heavy Axeman;SiegeOfGondor;LOTR08062;Shadow;Raider;Minion - Man;05;11;3;;4;U;08;R;062;;;Easterling. While you can spot 4 burdens, Heavy Axeman is strength +4 and fierce.
Line of Defense;SiegeOfGondor;LOTR08063;Shadow;Raider;Condition - Support Area;03;;;;;;08;C;063;;;While you can spot a mounted [RAIDER] Man, [RAIDER] Men cannot take wounds (except during skirmishes).
Mumakil;SiegeOfGondor;LOTR08064;Shadow;Raider;Possession - Mount;03;+3;;;;;08;U;064;;;Bearer must be a Southron. Bearer is fierce. While you have initiative or can spot 4 threats, bearer is damage +1.
Ships of Great Draught;SiegeOfGondor;LOTR08065;Shadow;Raider;Possession - Support Area;02;;;;;;08;R;065;;;Shadow: Remove a threat or discard a [RAIDER] card from hand to add a [RAIDER] token here. Regroup: Remove 2 [RAIDER] tokens here to place a [RAIDER] card from your discard pile on top of your draw deck.
Wind That Sped Ships;SiegeOfGondor;LOTR08066;Shadow;Raider;Event - Skirmish;01;;;;;;08;C;066;;;Make a corsair strength +1 for each [RAIDER] token you spot (limit +6). If you have initiative, you may place this event on top of your draw deck.
Between Nazgul and Prey;SiegeOfGondor;LOTR08067;Shadow;Wraith;Event - Assignment;04;;;;;;08;R;067;;;Exert an enduring [WRAITH] minion twice to assign that minion to an unbound companion.
Beyond All Darkness;SiegeOfGondor;LOTR08068;Shadow;Wraith;Event - Skirmish;03;;;;;;08;R;068;;;Exert a Nazgul to make him strength +2 and damage +1. If the character he is skirmishing is killed, the Free Peoples player must place his or her hand beneath his or her draw deck.
Black Dart;SiegeOfGondor;LOTR08069;Shadow;Wraith;Condition - Support Area;03;;;;;;08;U;069;Game text is a clarification. ;;Archery: Spot your enduring or mounted Nazgul to transfer this condition from your support area to an unbound companion. Discard a mount borne by that companion. Bearer cannot heal or bear mounts.
Black Flail;SiegeOfGondor;LOTR08070;Shadow;Wraith;Possession - Hand Weapon;02;+3;;;;U;08;R;070;;;Bearer must be a Nazgul. Skirmish: If bearer is The Witch-king, exert him and spot a possession borne by a character he is skirmishing to discard that possession.
Flung Into the Fray;SiegeOfGondor;LOTR08071;Shadow;Wraith;Condition - Support Area;01;;;;;U;08;U;071;;;When you play a minion stacked here, you may exert a companion. Regroup: If no minion is stacked here, spot your [WRAITH] minon to stack it here. Shadow: Spot 2 [WRAITH] minions to play a [WRAITH] minion stacked here as if played from hand.
Gothmog, Morgul Commander;SiegeOfGondor;LOTR08072;Shadow;Wraith;Minion - Orc;07;13;3;;4;U;08;R;072;;;While you have initiative, each [WRAITH] minion is an archer.
Mastered By Madness;SiegeOfGondor;LOTR08073;Shadow;Wraith;Event - Skirmish;01;;;;;;08;U;073;;;Make a Nazgul strength +2. If that Nazgul wins this skirmish, you may discard a Free Peoples mount.
Morgul Ambusher;SiegeOfGondor;LOTR08074;Shadow;Wraith;Minion - Orc;03;08;2;;4;;08;C;074;;;While you can spot 3 threats, the minion archery total is +2.
Morgul Creeper;SiegeOfGondor;LOTR08075;Shadow;Wraith;Minion - Orc;03;08;2;;4;;08;C;075;;;While you can spot 3 burdens, the minion archery total is +2.
Morgul Lurker;SiegeOfGondor;LOTR08076;Shadow;Wraith;Minion - Orc;03;08;2;;4;;08;C;076;;;While you have initiative, the minion archery total is +2.
Morgul Squealer;SiegeOfGondor;LOTR08077;Shadow;Wraith;Minion - Orc;03;08;2;;4;;08;R;077;;;Shadow: Discard this minion to play a [WRAITH] minion from your discard pile. Shadow: Spot 6 companions and discard this minion to play up to 2 [WRAITH] minions from your draw deck; their twilight costs are each -1.
Streaming to the Field;SiegeOfGondor;LOTR08078;Shadow;Wraith;Condition - Support Area;03;;;;;U;08;U;078;;;For each [WRAITH] Orc you can spot, the Free Peoples player must have an additional card in hand to have initiative. Skirmish: Discard this condition to make a [WRAITH] Orc strength +2.
Ulaire Attea, Thrall of the One;SiegeOfGondor;LOTR08079;Shadow;Wraith;Minion - Nazgul;06;12;3;;3;U;08;U;079;;;Enduring. Regroup: Exert Ulaire Attea and spot your [WRAITH] minion to return that minion to your hand.
Ulaire Nertea, Thrall of the One;SiegeOfGondor;LOTR08080;Shadow;Wraith;Minion - Nazgul;04;09;2;;3;U;08;U;080;;;Enduring. Fierce. The site number of each [WRAITH] minion is -1.
Ulaire Otsea, Thrall of the One;SiegeOfGondor;LOTR08081;Shadow;Wraith;Minion - Nazgul;04;09;3;;3;U;08;R;081;;;Enduring. Fierce. Regroup: Discard Ulaire Otsea to add (X), where X is the current site number.
Unhindered;SiegeOfGondor;LOTR08082;Shadow;Wraith;Event - Skirmish;02;;;;;;08;U;082;;;Make a Nazgul strength +2. If that Nazgul wins this skirmish, the Shadow has initiative until the end of the turn, regardless of the Free Peoples player's hand.
Winged Mount;SiegeOfGondor;LOTR08083;Shadow;Wraith;Possession - Mount;01;+2;;;;;08;U;083;;;To play, discard 2 cards from hand. Bearer must be a Nazgul. Response: If bearer is about to take a wound, remove a threat to prevent that wound.
The Witch-king, Black Captain;SiegeOfGondor;LOTR08084;Shadow;Wraith;Minion - Nazgul;08;14;4;;3;U;08;R;084;;;Enduring. Each Man skirmishing The Witch-king loses all strength bonuses from weapons.
Charged Headlong;SiegeOfGondor;LOTR08085;Free;Rohan;Event - Skirmish;01;;;;;;08;U;085;;;If you have initiative, discard a [ROHAN] possession to play a [ROHAN] possession from your discard pile.
Doom Drove Them;SiegeOfGondor;LOTR08086;Free;Rohan;Condition - Support Area;01;;;;;;08;U;086;;;Fellowship: Exert a [ROHAN] companion and either a [GONDOR] Man or a [SHIRE] companion to add a [ROHAN] token here. Skirmish: Remove a [ROHAN] token here to exert a minion skirmishing a companion.
Eomer, Keeper of Oaths;SiegeOfGondor;LOTR08087;Free;Rohan;Companion - Man;03;08;3;06;Gandalf;U;08;C;087;;;Valiant. When you play Eomer (except in your starting fellowship), you may reveal the top 10 cards of your draw deck. You may play each [ROHAN] possession revealed. Shuffle your draw deck.
Eowyn's Shield;SiegeOfGondor;LOTR08088;Free;Rohan;Possession - Shield;01;;;;;U;08;R;088;;;Bearer must be a [ROHAN] Man. The minion archery total is -1. Skirmish: If bearer is Eowyn, add a threat and discard Eowyn's Shield to discard a hand weapon borne by a minion she is skirmishing.
Fury of the Northmen;SiegeOfGondor;LOTR08089;Free;Rohan;Event - Skirmish;02;;;;;;08;C;089;;;Exert a minion skirmishing a mounted [ROHAN] Man.
No Living Man;SiegeOfGondor;LOTR08090;Free;Rohan;Event - Skirmish;02;;;;;;08;C;090;;;Exert Theoden to exert a minion for each Theoden signet you spot.
Rohirrim Army;SiegeOfGondor;LOTR08091;Free;Rohan;Companion - Man;05;09;3;06;;U;08;R;091;;;To play, spot 3 [ROHAN] companions. You may play Rohirrim Army any time you could play a regroup event. When you play Rohirrim Army, you may discard a minion.
Theoden, Tall and Proud;SiegeOfGondor;LOTR08092;Free;Rohan;Companion - Man;03;07;3;06;Aragorn;U;08;R;092;;;Valiant. While you can spot a [ROHAN] Man, Theoden's twilight cost is -1. When Theoden is killed, you may play a [ROHAN] companion from your discard pile or draw deck.
Called Away;SiegeOfGondor;LOTR08093;Shadow;Sauron;Condition - Support Area;02;;;;;;08;R;093;;;Regroup: Discard a [SAURON] minion, spot a companion (except the Ring-bearer), and remove X burdens, where X is that companion's vitality, to return that companion to its owner's hand.
